# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu/cycles/P'
# Event count (approx.): 128780225988
#
# Overhead  Shared Object                             Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........................................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     0.30%  gf                                        [.] graphforge_storage::graph_construction_encoding::FixedReader<_>::next                                                                                                                                                                                                                    -      -            
     0.30%  gf                                        [.] graphforge_storage::graph_construction_encoding::FixedReader<_>::next                                                                                                                                                                                                                    -      -            
     0.29%  gf                                        [.] graphforge_storage::graph_construction::shape::PartitionRun::push                                                                                                                                                                                                                        -      -            
     0.28%  [kernel.kallsyms]                         [k] format_decode                                                                                                                                                                                                                                                                            -      -            
     0.27%  libc.so.6                                 [.] cfree                                                                                                                                                                                                                                                                                    -      -            
     0.25%  gf                                        [.] graphforge_storage::adjacency::builder::stream_build_groups::{{closure}}                                                                                                                                                                                                                 -      -            
     0.25%  gf                                        [.] ZSTD_decompressSequences_bmi2.constprop.0                                                                                                                                                                                                                                                -      -            
     0.25%  gf                                        [.] graphforge_storage::graph_construction::partition_shaping::FixedRangePartitioner<_>::route                                                                                                                                                                                               -      -            
     0.24%  gf                                        [.] graphforge_storage::graph_construction::partition_shaping::LoadedPartition<_>::for_each_record                                                                                                                                                                                           -      -            
     0.24%  libc.so.6                                 [.] 0x0000000000197380                                                                                                                                                                                                                                                                       -      -            
     0.23%  gf                                        [.] arrow_array::array::fixed_size_binary_array::FixedSizeBinaryArray::value                                                                                                                                                                                                                 -      -            
     0.23%  [kernel.kallsyms]                         [k] kmem_cache_alloc_noprof                                                                                                                                                                                                                                                                  -      -            
     0.22%  gf                                        [.] graphforge_storage::graph_construction::shape::route_identity_run::{{closure}}                                                                                                                                                                                                           -      -            
     0.22%  [kernel.kallsyms]                         [k] memset_orig                                                                                                                                                                                                                                                                              -      -            
